"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1368239828345659399","https://twitter.com/paulapivat/status/1368239828345659399","@j8son_ yah, the 4-6-8 is a solid cardio, good for warming up, i'm likin it, 

but also want to have some parts continually changing.","2021-03-06 16:39 +0000","14.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368238487699214337","https://twitter.com/paulapivat/status/1368238487699214337","Day 6/

60 x 5 bench
60 x 1 row
30 pull-ups

2 mi walk

Warm-up: 20 sets in 19.00 mins
4 Burpees
6 Air squats
8 Sit-ups

cc: @j8son_ https://t.co/YJcj9oGbX5","2021-03-06 16:34 +0000","241.0","11.0","0.04564315352697095","0.0","3.0","2.0","0.0","0.0","0.0","5.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368226933801066500","https://twitter.com/paulapivat/status/1368226933801066500","Fin/

For more on text mining with {tidytext} 📦 
https://t.co/eIwUpVcgaS","2021-03-06 15:48 +0000","58.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368226931875872770","https://twitter.com/paulapivat/status/1368226931875872770","7/

First, 52 reasons to skip pad thai: https://t.co/vwvUn6pZ6S

But, the secret to enjoy Thai food is 👉 https://t.co/ExsGIP9BFy

Also, @joshskaja makes a mean Pad Krapow Neua https://t.co/pHNoYjuFJC","2021-03-06 15:48 +0000","67.0","5.0","0.07462686567164178","0.0","1.0","1.0","0.0","3.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368226930151985155","https://twitter.com/paulapivat/status/1368226930151985155","6/
With basic text mining, you could learned about Thai food, getting insight from unstructured text.

Of course, you’ll want to supplement the data with an actual meal.

Recommendations below👇","2021-03-06 15:48 +0000","51.0","1.0","0.0196078431372549","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368226927782162436","https://twitter.com/paulapivat/status/1368226927782162436","5/
If you wanted a deeper dive into just Thai salads, you could: https://t.co/5DFd9WTQ3H","2021-03-06 15:48 +0000","54.0","3.0","0.05555555555555555","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368226922640015361","https://twitter.com/paulapivat/status/1368226922640015361","4/
How about the relationship between words?

You could see ""nam"" and ""phrik"" (chili sauce) had a strong relationship. Although ""mu"" is common, ""mu"" and ""krop"" (crispy pork) are especially related. “khao"" and ""phat"" (fried rice) also highly related. https://t.co/pSUvbKhSvI","2021-03-06 15:48 +0000","29.0","2.0","0.06896551724137931","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368226917250260993","https://twitter.com/paulapivat/status/1368226917250260993","3/
Beyond frequency you could identify important words. One metric is the product of term frequency and inverse document frequency (tf-idf).

While pork (""mu"") is common across many dishes, other materials are ranked higher in other dish types. https://t.co/8FFVc3Q5P7","2021-03-06 15:48 +0000","31.0","2.0","0.06451612903225806","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368226911051083778","https://twitter.com/paulapivat/status/1368226911051083778","2/
Pork (""mu"") is common in many dishes, but there’s more rice (""khao"") in individual dishes and more curry (""kaeng"") in shared dishes. https://t.co/wuV1Dvc2ly","2021-03-06 15:48 +0000","34.0","4.0","0.11764705882352941","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1368226904612818951","https://twitter.com/paulapivat/status/1368226904612818951","1/
You could learn about Thai food *just* from dish names.

Download names from Wikipedia, break into individual words (tokenization), tally and sort to find the most frequent words.

Pork (“mu”), curry (""kaeng""), stir-fry (""phat""), sauce (""nam""), and rice (""khao"") are top 5. https://t.co/Zmd5gGShfe","2021-03-06 15:48 +0000","43.0","5.0","0.11627906976744186","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","4","4","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
